Dam Name,eap,status,hazard,county,lat,lng,river_stream,basin,nearest_town,distance_to_town,year,type_modify_repair,modify_year,structural_height,pool_cap,max_impound,condition,icon,last_inspection,next_inspection,owner,owner_type
Brookdale Lake Dam,Y,IMPOUNDING,High,Forsyth,36.0030,-80.3949,Johnson Creek -Tr,Yadkin-PeeDee,Clemmons,,,,,21.8,13 ,15 ,Fair,greenRound, 09/22/2015, 08/19/2016,Frank C & Rebecca Y Miller,Private
Fowler Lake Dam #1,N,IMPOUNDING,High,Forsyth,36.1581,-80.3574,Muddy Creek-Tr,Yadkin-PeeDee,Pfafftown,1 ,,,,30.0,19 ,40 ,Poor,redRound, 10/06/2015, 10/06/2016,Brendan and Donna Nolte,Private
Dell Phase 1 SWDP Dam,Y,IMPOUNDING,High,Forsyth,36.1000,-80.1000,,Yadkin-PeeDee,,,,,,32.0,3 ,3 ,Fair,greenRound, 11/25/2014, 11/25/2015,"Dell Products, L.P.",Private
Moore's Dam,Y,IMPOUNDING,High,Buncombe,35.54047,-82.41252,Cane Creek-Tr,French Broad,Fairview,2 ,,,,29.5,18 ,24 ,Poor,redRound, 04/07/2015, 04/10/2016,Sarah Moores Campbell York,Private
Upper Tanglewood Dam,N,IMPOUNDING,High,Cherokee,35.11861,-84.02528,Valley River-Tr,Hiwassee,Murphy,2 ,1974 ,,,31.0,18 ,25 ,Poor,redRound, 03/10/2015, 03/19/2016,"Gerson Blatt,Trustee Twood For",Private
Thomas Lake Dam #2,N,IMPOUNDING,High,Hoke,34.98472,-79.275,Toney Creek-Os,Lumber,Raeford,3 ,,,,12.2,18 ,24 ,Poor,redRound, 03/04/2015, 01/04/2016,Stefanie Lunsford,Private
Robinwood Lake Dam,N,IMPOUNDING,High,Gaston,35.235,-81.158,Anthony Creek,Catawba,Gastonia,1 ,1947 ,Repair,9999,35.0,332 ,514 ,Fair,greenRound, 01/13/2015, 01/18/2016,"Robinwood Swim Club, LLC",Private
Gaston Country Club Lake Dam,N,IMPOUNDING,High,Gaston,35.208,-81.147,Catawba Creek-Tr,Catawba,Gastonia,,,,,20.0,40 ,70 ,Fair,greenRound, 10/08/2014, 10/08/2015,Gaston Country Club,Private
Leigh Lake Dam,Y,IMPOUNDING,High,Gaston,35.21171,-81.1549,Catawba Creek-Tr,Catawba,Gastonia,,,Repair,2001,22.0,6 ,21 ,Fair,greenRound, 10/08/2014, 10/08/2015,Many Owners; See Past Corresondence,Private
Johnny Long Pond Dam,N,IMPOUNDING,High,Gaston,35.22765,-81.25201,Crowders Creek -Trib,Catawba,,,,,,28.0,117 ,149 ,Satisfactory,greenRound, 10/15/2014, 10/15/2015,"Linwood Farms, Inc.",Private
Sparrow Springs Lake Dam,N,IMPOUNDING,High,Gaston,35.188,-81.291,South Crowders Creek Trib,Catawba,Red River,34 ,,,,28.4,,60 ,Unsatisfactory,redRound, 01/14/2015, 01/14/2016,Nancy M Reid,Private
Cox Dam,N,IMPOUNDING,High,Gaston,35.369,-81.018,Dutchmans Creek-Tr,Catawba,Lucia,,1952 ,,,14.7,,37 ,Fair,greenRound, 10/15/2014, 10/15/2015,Patricia Cox,Private
Pharr Yarns Dam,N,IMPOUNDING,High,Gaston,35.30506,-81.10778,South Fork Catawba River-Tr,Catawba,Spencer Mountain,,,,,12.0,,12 ,Fair,greenRound, 10/15/2014, 10/15/2015,Pharr Yarns LLC,Private
Warren Dam,N,IMPOUNDING,High,Gaston,35.34242,-81.08517,South Stanly Creek - Trib.,Catawba,,,,,,23.4,28 ,44 ,Satisfactory,greenRound, 01/13/2015, 01/13/2016,Timothy D and Tonya M Bush,Private
Lake Sparta,Y,IMPOUNDING,High,Gaston,35.23537,-81.26506,Crowders Creek-Tr,Catawba,,,1982 ,,,21.9,12 ,18 ,Fair,greenRound, 10/15/2014, 10/15/2015,"Girl Scouts Carolinas Peaks to Piedmont, Inc",Private
James Davis Dam,N,IMPOUNDING,High,Gaston,35.33261,-81.09866,South Fork Catawba River-Tr,Catawba,,,1989 ,,,19.5,21 ,24 ,Satisfactory,greenRound, 01/13/2015, 01/09/2016,James Wayne Davis,Private
Lithco Mine Tailings Dam F,Y,IMPOUNDING,High,Gaston,35.3383,-81.2984,Long Creek,Catawba,Bessemer City,4 ,1992 ,,,70.0,0 ,56 ,Fair,greenRound, 09/10/2015, 12/15/2016,Martin-Marietta Aggregates,Private
Tobacco Branch Dam,N,IMPOUNDING,High,Graham,35.38671,-83.63561,Tobacco Branch,Little Tennessee,Bryson City,10 ,,Modify,2004,22.2,15 ,48 ,Satisfactory,greenRound, 03/05/2015, 03/06/2017,Tobacco Branch Property Owner's Association,Private
Robert Mosely Dam,N,IMPOUNDING,High,Graham,35.35222,-83.84174,Cheoah River-Trib,Little Tennessee,Tapoco,9 ,1986 ,,,26.0,10 ,29 ,Fair,greenRound, 03/05/2015, 03/05/2016,George Evans,Private
Mission Ready Dam,N,IMPOUNDING,High,Graham,35.25535,-83.88242,Flat Branch,Little Tennessee,,,,,,76.0,,250 ,Satisfactory,greenRound, 03/05/2015, 03/05/2017,Mission Ready,Private
Barker-Frazier Excv Inc Dam,Y,IMPOUNDING,High,Guilford,36.16884,-80.01320,Haw River-Tr,Cape Fear,Altamahaw,35 ,,,,22.4,34 ,45 ,Satisfactory,greenRound, 11/04/2013, 11/04/2015,Charles A. & Susan S. Jones,Private
Blaylock Lake Dam,N,IMPOUNDING,High,Guilford,36.1733,-80.0144,Haw River-Tr,Cape Fear,Oak Ridge,2 ,1955 ,,,20.0,72 ,96 ,Satisfactory,greenRound, 11/04/2013, 11/04/2015,"Highmark Properties, LLC",Private
Odom Dam,N,IMPOUNDING,High,Guilford,36.169,-80.01,Haw River-Tr,Cape Fear,Altamahaw,35 ,1971 ,,,23.0,15 ,36 ,Satisfactory,greenRound, 11/04/2013, 11/04/2015,Robert Offutt,Private
Smith Dam,N,IMPOUNDING,High,Guilford,36.038,-80.007,West Fork Deep River-Tr,Cape Fear,High Point,3 ,,,,15.5,10 ,12 ,Satisfactory,greenRound, 12/05/2013, 12/05/2015,Randolph Smith,Private
Hutton Dam,N,IMPOUNDING,High,Guilford,36.027,-80.032,Hiatt Branch-Tr,Cape Fear,High Point,1 ,,,,14.1,24 ,37 ,Satisfactory,greenRound, 12/05/2013, 12/05/2015,Hutton Lake HOA,Private
Church Of God Of Prophecy Dam,Y,IMPOUNDING,High,Guilford,36.021,-80.008,Hiatt Branch-Tr,Cape Fear,High Point,3 ,,,,18.1,11 ,14 ,Satisfactory,greenRound, 12/05/2013, 12/05/2015,Church Of God Of Prophecy,Private
Hobbs Lake Dam,Y,IMPOUNDING,High,Guilford,36.211,-79.9440,Haw River-TR,Cape Fear,Altamahaw,30 ,1960 ,Repair,2002,23.7,46 ,69 ,Satisfactory,greenRound, 12/11/2013, 12/11/2015,"Trimco Builders, LLC",Private
Ridgewood Farm Dam,Y,IMPOUNDING,High,Guilford,36.149,-79.997,Beaver Creek-Tr,Cape Fear,Ossippee,30 ,,,,15.5,28 ,37 ,Satisfactory,greenRound, 11/07/2013, 11/07/2015,Francis Disney,Private
Hillside Lake Dam,N,IMPOUNDING,High,Guilford,36.1316,-79.9241,Brush Creek-Tr,Cape Fear,Greensboro,10 ,1920 ,,,20.0,68 ,80 ,Satisfactory,greenRound, 11/13/2013, 11/13/2015,River Hills Plantation Comm. Assoc.C/O Slatter Mg,Private
Ski Lake Dam,N,IMPOUNDING,High,Guilford,36.154,-79.89,Brush Creek-Tr,Cape Fear,Ossipee,27 ,,Repair,2008,25.0,38 ,45 ,Satisfactory,greenRound, 11/13/2013, 11/13/2015,Greensboro Country Club,Private
Hillsdale Lake Dam,N,IMPOUNDING,High,Guilford,36.184,-79.876,Reedy Fork-Tr,Cape Fear,Oak Ridge,3 ,1960 ,,,25.0,160 ,200 ,Satisfactory,greenRound, 12/11/2013, 12/11/2015,Hillco Inc.,Private
Lake Jeanette Dam,N,IMPOUNDING,High,Guilford,36.159,-79.798,Richland Creek,Cape Fear,Ossipee,20 ,1943 ,,,50.0,4352 ,8042 ,Satisfactory,greenRound, 01/29/2014, 01/29/2016,Cone Denim LLC,Private
Richardson Lake Dam,N,IMPOUNDING,High,Guilford,36.1797,-79.8407,Reedy Fork-Tr,Cape Fear,Ossipee,25 ,1944 ,,,21.4,105 ,137 ,Satisfactory,greenRound, 01/30/2014, 01/30/2016,Michael R. & Eva K. Cooke,Private
Cedar Hollow Dam,Y,IMPOUNDING,High,Guilford,36.22677,-79.81480,Mears Fork Creek-Tr,Cape Fear,Altamahaw,22 ,1964 ,,,28.5,320 ,384 ,Satisfactory,greenRound, 01/16/2014, 01/16/2016,"Cedar Hollow Lakes Homeowners Assoc., Inc.",Private
Brooks Lake Dam,Y,IMPOUNDING,High,Guilford,36.2331,-79.7191,Benaja Creek-Tr,Cape Fear,Benaja,3 ,1928 ,,,24.6,288 ,346 ,Satisfactory,greenRound, 01/16/2014, 01/16/2016,"Summit Lakes Homeowners Assoc., Inc.",Private
Lake Herman Dam,N,IMPOUNDING,High,Guilford,36.172,-79.726,Reedy Fork - Tr,Cape Fear,Ossipee,15 ,1920 ,,,25.0,72 ,120 ,Satisfactory,greenRound, 12/04/2014, 12/04/2016,Lake Herman Center Association,Private
Lynwood Lake Dam,N,IMPOUNDING,High,Guilford,36.004,-79.731,Little Alamance Creek-Tr,Cape Fear,Troxlers Mill,4 ,1962 ,,,32.5,530 ,857 ,Satisfactory,greenRound, 01/06/2014, 01/06/2016,Lynco Club Inc,Private
Aydelette Lake Dam,N,IMPOUNDING,High,Guilford,36.038,-79.699,Little Alamance Creek-Tr,Cape Fear,Troxlers Mill,2 ,1933 ,,,23.9,113 ,143 ,Satisfactory,greenRound, 01/06/2014, 01/06/2016,"Trinity Lake Homeowners Assoc., Inc (024)",Private
Rounda Dam,N,IMPOUNDING,High,Guilford,36.022,-79.786,South Buffalo Creek-Tr,Cape Fear,Greensboro,1 ,1950 ,,,31.0,146 ,231 ,Satisfactory,greenRound, 12/18/2014, 12/18/2016,Woodlea Lake Assoc.& Woodlea Lake Manor Assoc.,Private
Benjamin Dam,Y,IMPOUNDING,High,Guilford,36.084,-79.855,North Buffalo Creek-Tr,Cape Fear,Greensboro,,1930 ,,,21.0,63 ,80 ,Satisfactory,greenRound, 02/10/2014, 02/10/2016,Hamilton Lakes & Parks Inc.,Private
Lake Hamilton Dam,Y,IMPOUNDING,High,Guilford,36.086,-79.864,Buffalo Creek-Tr,Cape Fear,Greensboro,1 ,1931 ,,,25.7,94 ,110 ,Satisfactory,greenRound, 02/10/2014, 02/10/2016,Hamilton Lakes & Parks Inc.,Private
Buffalo Lake Dam,N,IMPOUNDING,High,Guilford,36.113,-79.783,North Buffalo Creek-Tr,Cape Fear,Greensboro,,1922 ,,,23.0,608 ,868 ,Satisfactory,greenRound, 12/09/2014, 12/09/2016,Cone Denim LLC,Private
Jefferson Standard Country Club Dam,Y,IMPOUNDING,High,Guilford,36.1138,-79.8737,Horsepen Creek-Tr,Cape Fear,Greensboro,2 ,1949 ,Repair,2000,25.2,163 ,231 ,Satisfactory,greenRound, 02/10/2014, 02/10/2016,ZP NO 171 LLC,Private
Friendly Lake Dam,Y,IMPOUNDING,High,Guilford,36.114,-79.889,Horsepen Creek-Tr,Cape Fear,Greensboro,1 ,1959 ,Repair,2001,18.2,41 ,58 ,Satisfactory,greenRound, 11/12/2013, 11/12/2015,"Lakemont Park Association, Inc.",Private
Koger Properties Dam,Y,IMPOUNDING,High,Guilford,36.0516,-79.8866,South Buffalo Creek-Tr,Cape Fear,Greensboro,1 ,1959 ,,,21.0,41 ,50 ,Satisfactory,greenRound, 02/03/2014, 02/03/2016,DRA CRT Greensboro Land LP,Private
Fairfield Lake Dam,Y,IMPOUNDING,High,Guilford,36.031,-79.899,Bull Run Creek-Tr,Cape Fear,Jamestown,2 ,1964 ,,,30.0,230 ,276 ,Satisfactory,greenRound, 01/13/2014, 01/13/2016,Selco Inc,Private
Adams Lake Dam,N,IMPOUNDING,High,Guilford,36.023,-79.907,Bull Run Creek-Tr,Cape Fear,Jamestown,3 ,1955 ,Repair,2002,20.0,72 ,96 ,Satisfactory,greenRound, 01/13/2014, 01/13/2016,"Adams Farm Community Association, Inc.",Private
Dogwood Lake Dam,Y,IMPOUNDING,High,Guilford,36.0003,-79.8952,Reddicks Creek-Tr,Cape Fear,Randleman,15 ,1945 ,Repair,1964,21.0,60 ,125 ,Satisfactory,greenRound, 02/03/2014, 02/03/2016,Sedgefield 11 Home Owner's Association,Private
Uwharrie Lake Dam,Y,IMPOUNDING,High,Guilford,36.0404,-79.9294,Long Branch-Tr,Cape Fear,Jamestown,3 ,1958 ,Repair,2008,29.0,120 ,174 ,Satisfactory,greenRound, 01/13/2014, 01/16/2016,James Landing Property Owners Assoc.,Private
Wood Lake Dam,Y,IMPOUNDING,High,Guilford,35.9697,-79.7942,Polecat Creek-Tr,Cape Fear,Worthville,14 ,1930 ,,,15.0,84 ,90 ,Satisfactory,greenRound, 11/20/2013, 11/20/2015,"YES WL Utilities EXP, LLC",Private
Forest Oaks Lake Dam,N,IMPOUNDING,High,Guilford,35.9969,-79.714,Beaver Creek,Cape Fear,Alamance,16 ,1964 ,,,24.0,144 ,222 ,Satisfactory,greenRound, 12/17/2013, 12/17/2015,"Forest Oaks Country Club, Inc.",Private
Teague Lake Dam,Y,IMPOUNDING,High,Guilford,35.92,-79.667,Little Alamance Creek-Tr,Cape Fear,Alamance,18 ,1947 ,,,25.0,64 ,80 ,Satisfactory,greenRound, 01/13/2015, 01/13/2017,Donald L Stevenson,Private
Sparger Lake Dam,N,IMPOUNDING,High,Guilford,36.1257,-79.8240,Richland Creek-Tr,Cape Fear,Greensboro,,,,,14.6,5 ,9 ,Satisfactory,greenRound, 12/18/2014, 12/18/2016,Country Park Lake Association,Private
Lower Colonial Dam,N,IMPOUNDING,High,Guilford,36.0668,-79.9389,East Fork Deep River-Tr,Cape Fear,Greensboro,1 ,,,,19.9,41 ,64 ,Satisfactory,greenRound, 01/10/2014, 01/10/2016,Colonial Pipeline Co,Private
Pilot Life Dam,N,IMPOUNDING,High,Guilford,36.021,-79.887,Reddicks Creek-Tr,Cape Fear,Randleman,20 ,1953 ,,,25.5,69 ,99 ,Satisfactory,greenRound, 02/03/2014, 02/03/2016,"KSl Sedgefield Pilot, LLC",Private
Piedmont Centre Dam,N,IMPOUNDING,High,Guilford,36.05639,-79.9425,East Fork Deep River-Tr,Cape Fear,High Point,0 ,,,,25.0,42 ,50 ,Satisfactory,greenRound, 11/04/2014, 11/04/2015,"Piedmont Centre Community Association, Inc.",Private
Jamesford Meadows Dam,Y,IMPOUNDING,High,Guilford,36.03306,-79.93444,Long Branch-Tr,Cape Fear,Jamestown,4 ,,,,26.0,18 ,29 ,Satisfactory,greenRound, 01/13/2014, 01/13/2016,Jamesford Meadows Association,Private
Owens Dam,N,IMPOUNDING,High,Guilford,35.983,-79.961,Deep River-Tr,Cape Fear,High Point,3 ,1954 ,,,29.0,72 ,105 ,Satisfactory,greenRound, 01/07/2015, 01/07/2017,Asif & Sherri Kahn (Khan & Sherry Khan),Private
Welborn Dam,N,IMPOUNDING,High,Guilford,35.919,-79.93,Muddy Creek-Tr,Cape Fear,Randleman,10 ,,,,20.2,29 ,34 ,Fair,greenRound, 12/17/2014, 12/17/2015,"Perry & Segrid E. Woods, III",Private
Roth Dam,N,IMPOUNDING,High,Guilford,35.976,-79.843,Hickory Creek-Tr,Cape Fear,Randleman,14 ,,,,20.0,56 ,64 ,Fair,greenRound, 11/20/2013, 11/26/2015,Robert P Roth,Private
Gibson Dam,N,IMPOUNDING,High,Guilford,35.973,-79.785,Polecat Creek-Tr,Cape Fear,Randleman,10 ,,,,15.6,16 ,19 ,Satisfactory,greenRound, 11/20/2013, 11/20/2015,Gary Wood,Private
Lakeview Farm Dam,N,IMPOUNDING,High,Guilford,36.0090,-79.8634,Hickory Creek-Tr,Cape Fear,Greensboro,4 ,,,,21.0,31 ,37 ,Satisfactory,greenRound, 11/20/2014, 11/20/2016,Wallace G Freeman,Private
Pringle Dam,N,IMPOUNDING,High,Guilford,36.036,-79.768,South Buffalo Creek-Tr,Cape Fear,Greensboro,2 ,,,,16.4,15 ,20 ,Satisfactory,greenRound, 12/09/2014, 12/09/2016,Donaldine J Pringle,Private
Price Dam,N,IMPOUNDING,High,Guilford,36.1145,-79.8623,Horsepen Creek-Tr,Cape Fear,Greensboro,4 ,,,,20.0,29 ,32 ,Satisfactory,greenRound, 12/09/2014, 12/09/2016,"Friendly Acres Lake Assoc., Inc",Private
Mallard Dam,N,IMPOUNDING,High,Guilford,36.139,-79.829,Richland Creek-Tr,Cape Fear,,,,,,22.6,24 ,27 ,Satisfactory,greenRound, 12/18/2014, 12/18/2016,Mallard Diversified Limited Partnership,Private
Cathedral of His Glory Dam,N,IMPOUNDING,High,Guilford,36.136,-79.827,Richland Creek-Tr,Cape Fear,,,,,,19.2,16 ,19 ,Satisfactory,greenRound, 12/18/2014, 12/18/2016,"Cathedral Of His Glory, Inc.",Private
Green Dam,Y,IMPOUNDING,High,Guilford,36.2093,-79.6960,Reedy Fork Creek-Tr,Cape Fear,,,,Repair,2008,23.7,35 ,38 ,Satisfactory,greenRound, 01/16/2014, 01/13/2016,Eddie O Green,Private
Lakota Farm Dam,N,IMPOUNDING,High,Guilford,36.1446,-79.6617,North Buffalo Creek-Tr,Cape Fear,Mcleansville,2 ,,,,29.4,57 ,75 ,Satisfactory,greenRound, 12/19/2013, 12/19/2015,Gerald Lynn Fryar,Private
Lynco Dam,Y,IMPOUNDING,High,Guilford,36.005,-79.729,Little Alamance Creek-Tr,Cape Fear,Troxlers Mill,4 ,,Repair,2005,24.3,50 ,89 ,Satisfactory,greenRound, 01/06/2014, 01/06/2016,Lynco Club Inc,Private
Foster Sikes Dam,N,IMPOUNDING,High,Guilford,35.965,-79.714,Big Alamance Creek-Tr,Cape Fear,Alamance,19 ,,,,29.0,70 ,89 ,Satisfactory,greenRound, 01/02/2015, 01/02/2017,Sam Bridges,Private
John Painter Dam,N,IMPOUNDING,High,Guilford,36.092,-79.62,Rock Creek-Tr,Cape Fear,,,,,,17.5,33 ,56 ,Satisfactory,greenRound, 12/19/2013, 12/19/2015,James J. Hires,Private
Knight Dam,Y,IMPOUNDING,High,Guilford,36.20278,-79.82722,Long Branch-Tr,Cape Fear,Greensboro,3 ,1984 ,,,26.0,18 ,21 ,Satisfactory,greenRound, 12/04/2014, 12/04/2016,Frank Knight,Private
Old Deep River Golf Course Dam,N,IMPOUNDING,High,Guilford,36.07889,-79.96611,East Fork Deep River-Tr,Cape Fear,Greensboro,6 ,,,,21.5,12 ,20 ,Satisfactory,greenRound, 01/10/2014, 01/10/2016,"Volvo-White, Inc.",Private
Brookway Dam,N,IMPOUNDING,High,Guilford,36.10611,-79.89194,Horsepen Creek-Tr,Cape Fear,Greensboro,2 ,,,,16.1,5 ,6 ,Satisfactory,greenRound, 11/12/2013, 11/12/2015,Brookglen Homeowners Association,Private
Innkeeper Detention Pond,Y,IMPOUNDING,High,Guilford,36.07629,-79.95948,East Fork Deep River-Tr,Cape Fear,Greensboro,4 ,2001 ,,,9.8,1 ,1 ,Satisfactory,greenRound, 01/10/2014, 01/10/2016,Thorndike Road Pond Association,Private
Donald Cox Dam,N,IMPOUNDING,High,Guilford,35.94,-79.6828,Trib To Big Alamance Creek,Cape Fear,Greensboro,10 ,,,,15.1,12 ,13 ,Satisfactory,greenRound, 01/13/2015, 01/13/2017,Donald L. & Kimberly A. Cox,Private
AMP Detention Dam,Y,IMPOUNDING,High,Guilford,36.0800,-79.9750,Un Trib to East Fork Deep Rive,Cape Fear,High Point,,1996 ,,,16.7,12 ,27 ,Satisfactory,greenRound, 01/10/2014, 01/10/2016,Tyco Electronics,Private
Bridford Apartments Dam,Y,IMPOUNDING,High,Guilford,36.0422,-79.9046,Trib to Bull Run,Cape Fear,Greensboro,,1997 ,,,19.8,12 ,24 ,Satisfactory,greenRound, 11/04/2014, 11/04/2015,"TIC Bridford Lake 1, LLC Etals",Private
Watkins Pond Dam,N,IMPOUNDING,High,Harnett,35.486,-78.67,Black River-Os,Cape Fear,Coats,3 ,,,,15.0,10 ,12 ,Fair,greenRound, 04/07/2015, 02/01/2016,"Danny Watkins, Sr",Private
Lake Carolina,Y,IMPOUNDING,High,Harnett,35.2812,-79.0330,Reedy Swamp,Cape Fear,Manchester,5 ,1965 ,,,30.0,1882 ,1960 ,Fair,greenRound, 10/13/2014, 10/13/2015,Carolina Lakes Property Owners Association,Private
Somerton Lake Dam,N,IMPOUNDING,High,Alamance,36.08194,-79.50972,Gum Creek-Tr,Cape Fear,Burlington,1 ,,,,9.6,16 ,47 ,Poor,redRound, 10/07/2014, 10/07/2015,"Somerton Partners, L.L.C.",Private
Hannas Lake Dam,Y,IMPOUNDING,High,Harnett,35.3160,-78.5978,East Mingo Creek,Cape Fear,Dunn,,1950 ,Repair,2009,20.0,194 ,233 ,Fair,greenRound, 04/07/2015, 02/01/2016,"O.W. Godwin, Jr.",Private
Mclamb Lake Dam,Y,IMPOUNDING,High,Harnett,35.3,-78.586,East Mingo Creek,Cape Fear,Falcon,8 ,1950 ,Repair,2002,10.0,48 ,58 ,Fair,greenRound, 04/07/2015, 02/01/2016,Dale Lucas,Private
Lake Charles Dam,Y,IMPOUNDING,High,Buncombe,35.47834,-82.25362,Grassy Creek,Broad,Bat Cave,4 ,,,,19.0,16 ,25 ,Poor,redRound, 03/25/2015, 03/28/2016,Charles Holmes,Private
Kyle Boone Dam,N,IMPOUNDING,High,Buncombe,35.68056,-82.48139,Ox Creek-Os,French Broad,Beech,4 ,,,,20.0,15 ,16 ,Poor,redRound, 03/31/2015, 03/31/2016,Boone Lakeside Properties,Private
Carolina Lakes Dam #1,Y,IMPOUNDING,High,Harnett,35.2812,-79.0330,Reedys Creek-Tr,Cape Fear,,,1985 ,,,27.0,,140 ,Fair,greenRound, 10/13/2014, 10/13/2014,Carolina Lakes Property Owners Association,Private
Carolina Lakes Dam #2,Y,IMPOUNDING,High,Harnett,35.2795,-79.0262,Reedys Creek-Tr,Cape Fear,,,1985 ,,,16.0,,358 ,Fair,greenRound, 10/13/2014, 10/13/2015,Carolina Lakes Property Owners Association,Private
Slate Dam/Little Yadkin W/S#17,N,IMPOUNDING,High,Stokes,36.367,-80.342,E Prong Little Yadkin Rvr-Tr,Yadkin-PeeDee,Pinnacle,11 ,1989 ,,,29.5,14 ,17 ,Poor,redRound, 01/15/2015, 01/15/2016,John S. Slate,Private
Gimlin Dam,N,IMPOUNDING,High,Ashe,36.28652,-81.37552,Obids Creek,New,Obids,1 ,,,,17.0,12 ,15 ,Poor,redRound, 10/30/2014, 10/30/2015,Hal Gimlin,Private
Capps Pond Dam,N,IMPOUNDING,High,Buncombe,35.44682,-82.50149,Pinner Creek-Trib,French Broad,Fletcher,4 ,,,,20.0,12 ,19 ,Poor,redRound, 03/16/2015, 03/19/2016,A H Capps,Private
Lake Junaluska Dam,Y,IMPOUNDING,High,Haywood,35.5274,-82.9633,Richland Creek,French Broad,Lake Junaluska,,1913 ,Repair,2004,35.0,6755 ,7720 ,Fair,greenRound, 01/09/2015, 01/09/2016,SE Jurisdictional Council of the UMC,Private
Lake Logan Dam,Y,IMPOUNDING,High,Haywood,35.42118,-82.92496,West Fork Pigeon River,French Broad,Canton,12 ,1931 ,,,62.0,2000 ,2400 ,Fair,greenRound, 07/18/2014, 07/14/2016,"Blue Ridge Paper Products, Inc.",Private
Broyhill Baptist Children's Home Pond Dam,Y,IMPOUNDING,High,Haywood,35.51537,-82.93561,Pigeon River-Tr,French Broad,Waynesville,4 ,,Repair,2007,33.0,26 ,36 ,Fair,greenRound, 01/07/2015, 01/07/2017,"Baptist Children's Homes of NC, Inc.",Private
Hardin Dam,N,IMPOUNDING,High,Haywood,35.44238,-82.83031,Burnett Creek-Tr,French Broad,Bethel,6 ,,,,14.0,4 ,7 ,Fair,greenRound, 02/04/2015, 02/04/2017,George & Mary Hardin,Private
Cataloochee Ski Slope Dam,Y,IMPOUNDING,High,Haywood,35.5622,-83.0931,Hemphill Creek-Tr,French Broad,Maggie Valley,6 ,1998 ,Repair,2008,39.0,13 ,15 ,Satisfactory,greenRound, 02/16/2015, 02/16/2016,Phoenix Ski Corporation,Private
Boland Pond Dam,N,IMPOUNDING,High,Haywood,35.534,-83.107,Fie Branch-Tr,French Broad,Maggie Valley,2 ,,,,20.0,1 ,1 ,Fair,greenRound, 02/16/2015, 02/16/2016,Julian Boland,Private
Cataloochee Ranch Dam,N,IMPOUNDING,High,Haywood,35.54722,-83.09111,Evans Creek-Tr,French Broad,Maggie Valley,,,,,22.8,3 ,5 ,Fair,greenRound, 02/16/2015, 02/16/2016,Cataloochee Ranch,Private
Lake Jane Dam,Y,IMPOUNDING,High,Haywood,35.49097,-82.86004,Coffee Branch-Trib,French Broad,Canton,,,,,18.0,18 ,22 ,Fair,greenRound, 01/22/2015, 01/22/2016,NATHAN OGINTS TRUST,Private
Lipham Dam,Y,IMPOUNDING,High,Haywood,35.52491,-82.83001,TRIB. TO PIGEON RIVER,French Broad,CANTON,,1950 ,,,49.0,,0 ,Fair,greenRound, 01/15/2015, 01/15/2016,Michael and Deborah Crawford,Private
Holcombe Dam,N,IMPOUNDING,High,Buncombe,35.7525,-82.5500,Flat Creek-Tr,French Broad,Marshall,15 ,,,,26.0,12 ,21 ,Poor,redRound, 03/25/2015, 03/25/2016,Marion M Rash,Private
Phillips Dam,Y,IMPOUNDING,High,Graham,35.31250,-83.79874,Tulula Creek-Trib,Little Tennessee,Robbinsville,1 ,,,,30.5,12 ,22 ,Poor,redRound, 07/22/2015, 07/22/2017,Edd Satterfield,Private
Osceola Lake Dam,N,IMPOUNDING,High,Henderson,35.29763,-82.47308,Shepherd Creek,French Broad,Hendersonville,1 ,1920 ,,,30.0,300 ,500 ,Unsatisfactory,redRound, 06/15/2015, 12/16/2015,T & A Carolina Corp.,Private
Feeny Dam,N,IMPOUNDING,High,Henderson,35.46256,-82.41043,Hoopers Creek,French Broad,Hoopers Creek,1 ,,,,44.0,175 ,225 ,Satisfactory,greenRound, 01/27/2015, 01/27/2016,Carolyn M Feeney,Private
Blue Star Dam Upper,N,IMPOUNDING,High,Henderson,35.24327,-82.54486,Mud Creek,French Broad,Hendersonville,6 ,,,,56.0,270 ,407 ,Satisfactory,greenRound, 01/22/2015, 01/22/2016,Blue Star Camps,Private
Blue Star Dam Lower,N,IMPOUNDING,High,Henderson,35.24705,-82.53727,Mud Creek,French Broad,Hendersonville,6 ,1963 ,,,29.0,70 ,85 ,Satisfactory,greenRound, 01/22/2015, 01/22/2016,Blue Star Camps,Private
Orchard Lake Dam,N,IMPOUNDING,High,Henderson,35.1999,-82.3540,Pacolet River-Tr,Broad,Melrose,3 ,1964 ,,,25.0,45 ,60 ,Satisfactory,greenRound, 05/01/2015, 05/01/2016,Walter or Jean Pace,Private
Crooked Creek Lake Dam,N,IMPOUNDING,High,Henderson,35.28247,-82.47030,Mud Creek,French Broad,Hendersonville,1 ,1938 ,,,23.8,77 ,123 ,Fair,greenRound, 08/31/2015, 03/18/2016,Crooked Creek  Property Owners Association,Private
Forge Mountain Grist Mill Dam,N,IMPOUNDING,High,Henderson,35.3473,-82.6210,Turkey Creek-Tr,French Broad,Mills River,10 ,,,,17.0,20 ,32 ,Satisfactory,greenRound, 01/12/2015, 01/12/2016,"RICE PROPERTY MANAGEMENT, LLC",Private
Rhett Mill Dam,Y,IMPOUNDING,High,Henderson,35.2853,-82.4396,King Creek,French Broad,Hendersonville,4 ,1955 ,,,16.0,150 ,361 ,Satisfactory,greenRound, 01/07/2015, 01/07/2016,Highland Lake Cove,Private
